T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.125	17.688	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.750	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.375	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.625	17.125	17.688	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.688	17.125	17.688	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.750	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.063	17.750	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.750	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.750	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.375	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.688	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.750	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.750	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.375	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.063	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.688	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.188	17.625	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.375	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.375	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.063	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.688	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.063	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.063	17.313	0.000	
17.625	17.250	17.750	17.188	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.063	17.313	0.000	
17.625	17.250	17.688	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.250	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.063	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.063	17.313	0.000	
17.625	17.188	17.688	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.375	17.000	17.313	17.125	17.313	0.000	
17.625	17.188	17.688	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.375	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.250	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.125	17.688	17.000	17.313	17.188	17.375	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.250	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.250	17.063	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.250	17.063	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.250	17.063	17.313	0.000	
17.625	17.250	17.750	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.250	17.188	17.375	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.250	17.188	17.375	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.063	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.063	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.125	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.125	17.688	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.250	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.063	17.688	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.125	17.688	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.688	17.250	17.688	17.063	17.688	17.000	17.313	17.250	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.063	17.313	17.250	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.250	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.375	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.063	17.313	17.250	17.438	17.000	17.313	17.125	17.375	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.375	0.000	
17.688	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.375	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.750	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.750	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.125	17.750	17.000	17.313	17.188	17.438	17.063	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.188	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.688	17.125	17.688	17.000	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.125	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.625	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.188	17.625	17.063	17.688	17.063	17.250	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.625	17.063	17.688	17.063	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.188	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.688	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.688	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
17.625	17.250	17.750	17.250	17.688	17.063	17.688	17.000	17.313	17.188	17.438	17.000	17.313	17.125	17.313	0.000	
